"Level","Primary","Project Title","Project Goal","Principal Investigator","Managing WPO Program","Project Status","Project Start Date","Project End Date","Research Keywords","Associated Forecast Systems & Models","Method","Study Design","Sample","Project Description","Project Benefits","Transition Partner / Adopter","Transition POC","Project Team Affiliations","Award Number(s)","Weather Hazard","State","PI Last Name","Spelled Out Program Name","Year Funded","Period of Performance","Status Icon","Combined Keywords","Combined Search","Transition Partner Spelled Out","Affiliations (Comma Separated)","Weather Hazard Icon","REACH URLs","Truncated Project Goal"
"Level 3","JTTI","Improving probabilistic forecasts of extreme rainfall through intelligent processing of high-resolution ensemble predictions","This project aimed to use machine-learning techniques to optimize the skill and reliability of probabilistic forecasts of extreme rainfall. The output is used as a first-guess for the Weather Prediction Center (WPC) Day 2-3 Extreme Rainfall Outlook.","Russ Schumacher","JTTI","Complete","Sat Oct 01 2016 03:00:00 GMT-0400 (Eastern Daylight Time)","Mon Sep 30 2019 03:00:00 GMT-0400 (Eastern Daylight Time)","Artificial Intelligence (AI) / Machine Learning (ML), Data Assimilation and Ensembles, Dynamics and Nesting, Post-processing, Probabilistic Weather Forecasting","","","","","A framework for evaluating extreme QPFs in models","more robust and definitive conclusions about overall model performance at forecasting extreme precipitation","WPC","Jim Nelson","Colorado State University","NA16OAR4590238","Water Extremes","Colorado","Schumacher","Joint Technology Transfer Initiative (JTTI)","2016","October 2016 - September 2019","<span class=""material-icons status-icon complete"" title=""Complete"">check_circle</span>","Artificial Intelligence (AI) / Machine Learning (ML), Data Assimilation and Ensembles, Dynamics and Nesting, Post-processing, Probabilistic Weather Forecasting","improving probabilistic forecasts of extreme rainfall through intelligent processing of high resolution ensemble predictions, this project aimed to use machine learning techniques to optimize the skill and reliability of probabilistic forecasts of extreme rainfall the output is used as a first guess for the weather prediction center wpc day 2 3 extreme rainfall outlook, a framework for evaluating extreme qpfs in models","Weather Prediction Center (WPC)","Colorado State University","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/flooding-tp.png"" alt=""Water Extremes"" />","https://part-wpo.github.io/reach-dashboard/?award=NA16OAR4590238","This project aimed to use machine-learning techniques to optimize the skill and reliability of probabilistic forecasts of extreme rainfall. The output is used as a first-guess for the Weather Prediction Center (WPC) Day 2-3 Extreme"
"Level 3","JTTI","Implementation of Advanced Multi-Sensor Analysis and Data Fusion Algorithms for Real-Time High-Resolution Quantitative Precipitation Estimation","The objective of this project is to implement new algorithms for multisensor quantitative precipitation estimation (QPE) and multi-QPE fusion on the Multi-Radar Multi-Sensor (MRMS) Testbed for eventual operation at the National Centers for Environmental Prediction (NCEP) Central Operations (NCO). The new algorithms are expected to improve the accuracy of high-resolution QPE and water prediction especially for extreme precipitation and flooding events.","Dong-Jun Seo, Lin Tang","JTTI","Complete","Sat Oct 01 2016 03:00:00 GMT-0400 (Eastern Daylight Time)","Mon Sep 30 2019 03:00:00 GMT-0400 (Eastern Daylight Time)","Dynamics and Nesting, Radar","Multi-Radar/Multi-Sensor System (MRMS)","","","","This project aims at addressing the problems in the current high-resolution QPE by implementing new algorithms for multisensor QPE and multi-QPE fusion on the Multi-Radar Multi-Sensor (MRMS) Testbed","Improved accuracy in water prediction, especially for high-impact hydrologic events such as severe-to-extreme flooding","NCO","David Kitzmiller (OWP/NWC)","University of Texas at Arlington
CIMMS/University of Oklahoma
NOAA/OAR/NSSL
NOAA/NWS/NWC","NA16OAR4590232
NA16OAR4590235","Water Extremes","Oklahoma, Texas","Seo","Joint Technology Transfer Initiative (JTTI)","2016","October 2016 - September 2019","<span class=""material-icons status-icon complete"" title=""Complete"">check_circle</span>","Dynamics and Nesting, Radar","implementation of advanced multi sensor analysis and data fusion algorithms for real time high resolution quantitative precipitation estimation, the objective of this project is to implement new algorithms for multisensor quantitative precipitation estimation qpe and multi qpe fusion on the multi radar multi sensor mrms testbed for eventual operation at the national centers for environmental prediction ncep central operations nco the new algorithms are expected to improve the accuracy of high resolution qpe and water prediction especially for extreme precipitation and flooding events, this project aims at addressing the problems in the current high resolution qpe by implementing new algorithms for multisensor qpe and multi qpe fusion on the multi radar multi sensor mrms testbed","NCEP Central Operations (NCO)","University of Texas at Arlington, CIMMS/University of Oklahoma, NOAA/OAR/NSSL, NOAA/NWS/NWC","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/flooding-tp.png"" alt=""Water Extremes"" />","https://part-wpo.github.io/reach-dashboard/?award=NA16OAR4590232,NA16OAR4590235","The objective of this project is to implement new algorithms for multisensor quantitative precipitation estimation (QPE) and multi-QPE fusion on the Multi-Radar Multi-Sensor (MRMS) Testbed for eventual operation at the National Centers for Environmental Prediction"
"Level 3","JTTI","Assessing the impact of assimilating ground-based infrared radiometer data into convective-scale numerical weather prediction models","The goal for this project was to transition the network of four Atmospheric Emitted Radiance Interferometers (AERIs) operating at the Department of Energy Atmospheric Radiation Measurement (ARM) Southern Great Plains (SGP) facility in north-central Oklahoma into operational NWP ensembles for the improvement in prediction of localized convection.","Timothy Wagner","JTTI","Complete","Sat Oct 01 2016 03:00:00 GMT-0400 (Eastern Daylight Time)","Tue Mar 31 2020 03:00:00 GMT-0400 (Eastern Daylight Time)","Data Assimilation and Ensembles, Numerical Weather Prediction (NWP), Satellite & Remote Sensing Technologies","Unified Forecast System (UFS)","","","","A project to use increased information about boundary layer structure and its evolution to create improved representation of convective modes in the model and more skillful quantitative precipitation forecasts (QPF).","A real-time assimilation scheme for the AERIs in north central Oklahoma that results in more skillful quantitative precipitation forecasts (QPF)","SPC","Russell Schneider","CIMSS/University of Wisconsin","NA16OAR4590241","Water Extremes","Wisconsin","Wagner","Joint Technology Transfer Initiative (JTTI)","2016","October 2016 - March 2020","<span class=""material-icons status-icon complete"" title=""Complete"">check_circle</span>","Data Assimilation and Ensembles, Numerical Weather Prediction (NWP), Satellite & Remote Sensing Technologies","assessing the impact of assimilating ground based infrared radiometer data into convective scale numerical weather prediction models, the goal for this project was to transition the network of four atmospheric emitted radiance interferometers aeris operating at the department of energy atmospheric radiation measurement arm southern great plains sgp facility in north central oklahoma into operational nwp ensembles for the improvement in prediction of localized convection, a project to use increased information about boundary layer structure and its evolution to create improved representation of convective modes in the model and more skillful quantitative precipitation forecasts qpf","Storm Prediction Center (SPC)","CIMSS/University of Wisconsin","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/flooding-tp.png"" alt=""Water Extremes"" />","https://part-wpo.github.io/reach-dashboard/?award=NA16OAR4590241","The goal for this project was to transition the network of four Atmospheric Emitted Radiance Interferometers (AERIs) operating at the Department of Energy Atmospheric Radiation Measurement (ARM) Southern Great Plains (SGP) facility in north-central Oklahoma"
"Level 3","JTTI","Development and Implementation of Probabilistic Hail Forecast Products using Multi-Moment Microphysics and Machine Learning Algorithms","This project aimed to develop machine learning hail prediction algorithms and direct hail prediction products suitable for severe weather forecast operations.","Nathan Snook","JTTI","Complete","Sat Oct 01 2016 03:00:00 GMT-0400 (Eastern Daylight Time)","Mon Sep 30 2019 03:00:00 GMT-0400 (Eastern Daylight Time)","Artificial Intelligence (AI) / Machine Learning (ML), Atmospheric Physics, Probabilistic Weather Forecasting","","","","","To refine hail forecast products pioneered during SHARP and prepare them for operational use.","Hourly and daily ensemble-based probabilistic hail forecasts, calibrated via machine learning algorithms, suitable for operational use, potentially directly implemented on the planned operational High-Resolution Ensemble Forecast (HREF)","EMC","Russell Schneider","University of Oklahoma","NA16OAR4590239","Severe Weather","Oklahoma","Snook","Joint Technology Transfer Initiative (JTTI)","2016","October 2016 - September 2019","<span class=""material-icons status-icon complete"" title=""Complete"">check_circle</span>","Artificial Intelligence (AI) / Machine Learning (ML), Atmospheric Physics, Probabilistic Weather Forecasting","development and implementation of probabilistic hail forecast products using multi moment microphysics and machine learning algorithms, this project aimed to develop machine learning hail prediction algorithms and direct hail prediction products suitable for severe weather forecast operations, to refine hail forecast products pioneered during sharp and prepare them for operational use","Environmental Modeling Center (EMC)","University of Oklahoma","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/severe-tp.PNG"" alt=""Severe"" />","https://part-wpo.github.io/reach-dashboard/?award=NA16OAR4590239","This project aimed to develop machine learning hail prediction algorithms and direct hail prediction products suitable for severe weather forecast operations."
"Level 3","JTTI","Improving Hydrologic Observing Capabilities with Stream Radars","This project proposed to advance the state of observations of the water cycle across the U.S. with the siting and installation of 14 Stream Radars and the transfer of their real-time data into the National Water Model (NWM).","Daniel Wasielewski, Humberto Vergera-Arrieta","JTTI","Complete","Sat Oct 01 2016 03:00:00 GMT-0400 (Eastern Daylight Time)","Mon Sep 30 2019 03:00:00 GMT-0400 (Eastern Daylight Time)","Radar","National Water Model (NWM)","","","","This proposal will install 14 stream radars on cables or bridges across rivers at the pre-determined, high-priority locations","Advance the state of observations of the water cycle across the U.S. in order to improve hydrologic forecasting with the new National Water Model (NWM).","OWP/NWC","Edward Clark","CIMMS/University of Oklahoma","NA16OAR4590234","Water Extremes","Oklahoma","Wasielewski","Joint Technology Transfer Initiative (JTTI)","2016","October 2016 - September 2019","<span class=""material-icons status-icon complete"" title=""Complete"">check_circle</span>","Radar","improving hydrologic observing capabilities with stream radars, this project proposed to advance the state of observations of the water cycle across the u s with the siting and installation of 14 stream radars and the transfer of their real time data into the national water model nwm, this proposal will install 14 stream radars on cables or bridges across rivers at the pre determined high priority locations","","CIMMS/University of Oklahoma","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/flooding-tp.png"" alt=""Water Extremes"" />","https://part-wpo.github.io/reach-dashboard/?award=NA16OAR4590234","This project proposed to advance the state of observations of the water cycle across the U.S. with the siting and installation of 14 Stream Radars and the transfer of their real-time data into the National"
"Level 3","JTTI","Quantifying Stochastic Forcing at Convective Scales","This project aims to provide NCEP's Environmental Modeling Center (EMC) with a modeling tool called MP-NGGPS, which can generate initial conditions for ensemble members that differ partially or even exclusively through stochastic perturbations of the parameterized cloud systems.","David Randall","JTTI","Complete","Sat Oct 01 2016 03:00:00 GMT-0400 (Eastern Daylight Time)","Mon Sep 30 2019 03:00:00 GMT-0400 (Eastern Daylight Time)","Atmospheric Physics, Data Assimilation and Ensembles","Next Generation Global Prediction System (NGGPS), Unified Forecast System (UFS)","","","","This research is aimed at improving modeling capabilities at the Environmental Modeling Center (EMC) of the National Centers for Environmental Prediction (NCEP), with emphasis on the prediction of convective weather systems and the effects of such systems on broader-scale forecasts","Provide EMC with a modeling tool that can be used to generate initial conditions for ensemble members that differ partially or exclusively through stochastic perturbations of the parameterized cloud systems","EMC","Vijay Tallapragada","Colorado State University","NA16OAR4590230","Severe Weather","Colorado","Randall","Joint Technology Transfer Initiative (JTTI)","2016","October 2016 - September 2019","<span class=""material-icons status-icon complete"" title=""Complete"">check_circle</span>","Atmospheric Physics, Data Assimilation and Ensembles","quantifying stochastic forcing at convective scales, this project aims to provide ncep's environmental modeling center emc with a modeling tool called mp nggps which can generate initial conditions for ensemble members that differ partially or even exclusively through stochastic perturbations of the parameterized cloud systems, this research is aimed at improving modeling capabilities at the environmental modeling center emc of the national centers for environmental prediction ncep with emphasis on the prediction of convective weather systems and the effects of such systems on broader scale forecasts","Environmental Modeling Center (EMC)","Colorado State University","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/severe-tp.PNG"" alt=""Severe"" />","https://part-wpo.github.io/reach-dashboard/?award=NA16OAR4590230","This project aims to provide NCEP's Environmental Modeling Center (EMC) with a modeling tool called MP-NGGPS, which can generate initial conditions for ensemble members that differ partially or even exclusively through stochastic perturbations of the"
"Level 3","JTTI","Development of NWS convective scale ensemble forecasting capability through improving GSI-based hybrid ensemble-variational data assimilation and evaluating the multi-dynamic core approach","This proposal aimed to extend the GSI-based EnKF/hybrid DA system within the HRRR to directly assimilate multi-scale observations including the radar reflectivity. The impact of direct assimilation of reflectivity observations and the impact of using various error covariance combinations in hybrid DA for the convection allowing forecasts was also evaluated.","Xuguang Wang","JTTI","Complete","Sat Oct 01 2016 03:00:00 GMT-0400 (Eastern Daylight Time)","Wed Sep 30 2020 03:00:00 GMT-0400 (Eastern Daylight Time)","Data Assimilation and Ensembles, Dynamics and Nesting, Radar","Gridpoint Statistical Interpolation (GSI), High-Resolution Rapid Refresh (HRRR), Unified Forecast System (UFS)","","","","The GSI-based EnKF/hybrid DA system will be extended with HRRR to directly assimilate multiscale observations including the radar reflectivity.","The capability to assimilate radar reflectivity into the HRRR","EMC","Jacob Carley","University of Oklahoma","NA16OAR4590236","Relevant to All Hazards","Oklahoma","Wang","Joint Technology Transfer Initiative (JTTI)","2016","October 2016 - September 2020","<span class=""material-icons status-icon complete"" title=""Complete"">check_circle</span>","Data Assimilation and Ensembles, Dynamics and Nesting, Radar","development of nws convective scale ensemble forecasting capability through improving gsi based hybrid ensemble variational data assimilation and evaluating the multi dynamic core approach, this proposal aimed to extend the gsi based enkf hybrid da system within the hrrr to directly assimilate multi scale observations including the radar reflectivity the impact of direct assimilation of reflectivity observations and the impact of using various error covariance combinations in hybrid da for the convection allowing forecasts was also evaluated, the gsi based enkf hybrid da system will be extended with hrrr to directly assimilate multiscale observations including the radar reflectivity","Environmental Modeling Center (EMC)","University of Oklahoma","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/all-tp.PNG"" alt=""All Hazards"" />","https://part-wpo.github.io/reach-dashboard/?award=NA16OAR4590236","This proposal aimed to extend the GSI-based EnKF/hybrid DA system within the HRRR to directly assimilate multi-scale observations including the radar reflectivity. The impact of direct assimilation of reflectivity observations and the impact of using"
"Level 3","JTTI","Accounting for non-Gaussianity in the background error distributions associated with cloud-related variables (microwave radiances and hydrometeors) in hybrid data assimilation for convective-scale prediction","This project sought to further develop the operationally used Gridpoint Statistical Interpolation (GSI) data assimilation (DA) software by incorporating a new non-Gaussian solver in the static (3DVar) component of the hybrid data assimilation system within the RAP/HRRR model.","Karina Apodaca","JTTI","Complete","Sat Oct 01 2016 03:00:00 GMT-0400 (Eastern Daylight Time)","Tue Mar 31 2020 03:00:00 GMT-0400 (Eastern Daylight Time)","Data Assimilation and Ensembles, Dynamics and Nesting","Gridpoint Statistical Interpolation (GSI), High-Resolution Rapid Refresh (HRRR), Rapid Refresh (RAP), Unified Forecast System (UFS)","","","","To augment the capabilities of the GSI-hybrid system for the RAP+HRRR models to account for the non-Gaussianity in the background error distributions of microwave radiances and cloud hydrometeors to improve the prediction of severe weather events that occur at the convective scale.","Improved prediction of severe weather events that occur at the convective scale.","EMC","Emily Liu","Colorado State University","NA16OAR4590233","Severe Weather","Colorado","Apodaca","Joint Technology Transfer Initiative (JTTI)","2016","October 2016 - March 2020","<span class=""material-icons status-icon complete"" title=""Complete"">check_circle</span>","Data Assimilation and Ensembles, Dynamics and Nesting","accounting for non gaussianity in the background error distributions associated with cloud related variables microwave radiances and hydrometeors in hybrid data assimilation for convective scale prediction, this project sought to further develop the operationally used gridpoint statistical interpolation gsi data assimilation da software by incorporating a new non gaussian solver in the static 3dvar component of the hybrid data assimilation system within the rap hrrr model, to augment the capabilities of the gsi hybrid system for the rap+hrrr models to account for the non gaussianity in the background error distributions of microwave radiances and cloud hydrometeors to improve the prediction of severe weather events that occur at the convective scale","Environmental Modeling Center (EMC)","Colorado State University","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/severe-tp.PNG"" alt=""Severe"" />","https://part-wpo.github.io/reach-dashboard/?award=NA16OAR4590233","This project sought to further develop the operationally used Gridpoint Statistical Interpolation (GSI) data assimilation (DA) software by incorporating a new non-Gaussian solver in the static (3DVar) component of the hybrid data assimilation system within"
"Level 3","JTTI","Demonstration of an Airborne Hyperspectral and Thermal Imaging System to Assess Convective Lifted Index","This project aimed to adapt hyperspectral and thermal imaging instruments on a University of Tennessee airplane to fly on a drone. The drone would use these instruments to assess the Lifted Index (LI) of near surface air as a precursor to deep convection.","Steven Brooks","JTTI","Complete","Sat Oct 01 2016 03:00:00 GMT-0400 (Eastern Daylight Time)","Sun Sep 30 2018 03:00:00 GMT-0400 (Eastern Daylight Time)","Aircraft Reconnaissance, Satellite & Remote Sensing Technologies, Uncrewed Systems & Vehicles","","","","","This project will utilize the existing hyperspectral and thermal imaging instruments on a University of Tennessee aircraft, to assess the Lifted Index (LI) of near surface air as a precursor to deep convection.","Hyperspectral and thermal imaging datasets to complement the micromet tower net-radiation and, sensible and latent heat fluxes, a trained PhD graduate prepared for a NOAA post-doc, an operational drone with hyperspectral, thermal and met. sensors delivered to NOAA, and datasets to supplement severe storms models.","ARL/ATDD","Bruce Baker (ARL/ATDD)","University of Tennessee","NA16OAR4590231","Severe Weather","Tennessee","Brooks","Joint Technology Transfer Initiative (JTTI)","2016","October 2016 - September 2018","<span class=""material-icons status-icon complete"" title=""Complete"">check_circle</span>","Aircraft Reconnaissance, Satellite & Remote Sensing Technologies, Uncrewed Systems & Vehicles","demonstration of an airborne hyperspectral and thermal imaging system to assess convective lifted index, this project aimed to adapt hyperspectral and thermal imaging instruments on a university of tennessee airplane to fly on a drone the drone would use these instruments to assess the lifted index li of near surface air as a precursor to deep convection, this project will utilize the existing hyperspectral and thermal imaging instruments on a university of tennessee aircraft to assess the lifted index li of near surface air as a precursor to deep convection","","University of Tennessee","<img src=""https://raw.githubusercontent.com/PART-WPO/SPARK/refs/heads/main/icons/severe-tp.PNG"" alt=""Severe"" />","https://part-wpo.github.io/reach-dashboard/?award=NA16OAR4590231","This project aimed to adapt hyperspectral and thermal imaging instruments on a University of Tennessee airplane to fly on a drone. The drone would use these instruments to assess the Lifted Index (LI) of near"
"Level 3","JTTI","Assimilation of Remote Sensing Observations into Convective-scale NWP to Improve 0-6 h Probabilistic Forecasts of High Impact Weather","The goal of this project was to improve short-term (0-6 h) probabilistic forecasts of extreme convective rainfall and other hazardous severe weather threats by enhancing the capability of a data assimilation system to incorporate high-temporal resolution thermodynamic and wind observations from ground-based remote sensing boundary layer instruments in addition to NWS conventional and WSR-88D radar observations.","Nusrat Yussouf","JTTI","Complete","Sat Oct 01 2016 03:00:00 GMT-0400 (Eastern Daylight Time)","Mon Sep 30 2019 03:00:00 GMT-0400 (Eastern Daylight Time)","Atmospheric Physics, Data Assimilation and Ensembles, Dynamics and Nesting, Numerical Weather Prediction (NWP), Probabilistic Weather Forecasting, Radar, Satellite & Remote Sensing Technologies","","","","","The proposed work aims to improve 0-6 h convective-scale (3 km or less) Quantitative Precipitation Forecasts (QPF and probabilistic QPF) and other high impact weather events (e.g., flash floods, tornadoes, large hail, damaging winds).","Increase the forecast warning lead times of flood producing heavy rainfall events from improved representations of the near storm environment and storm characteristics in the convective-scale model","EMC
WPC","Daryl Kleist (EMC)
Gregory Carbin (POC)
Jim Nelson (WPC)","CIMMS/University of Oklahoma","NA16OAR4590242","""Severe Weather, Water Extremes""","Oklahoma","Yussouf","Joint Technology Transfer Initiative (JTTI)","2016","October 2016 - September 2019","<span class=""material-icons status-icon complete"" title=""Complete"">check_circle</span>","Atmospheric Physics, Data Assimilation and Ensembles, Dynamics and Nesting, Numerical Weather Prediction (NWP), Probabilistic Weather Forecasting, Radar, Satellite & Remote Sensing Technologies","assimilation of remote sensing observations into convective scale nwp to improve 0 6 h probabilistic forecasts of high impact weather, the goal of this project was to improve short term 0 6 h probabilistic forecasts of extreme convective rainfall and other hazardous severe weather threats by enhancing the capability of a data assimilation system to incorporate high temporal resolution thermodynamic and wind observations from ground based remote sensing boundary layer instruments in addition to nws conventional and wsr 88d radar observations, the proposed work aims to improve 0 6 h convective scale 3 km or less quantitative precipitation forecasts qpf and probabilistic qpf and other high impact weather events e g flash floods tornadoes large hail damaging winds","","CIMMS/University of Oklahoma","","https://part-wpo.github.io/reach-dashboard/?award=NA16OAR4590242","The goal of this project was to improve short-term (0-6 h) probabilistic forecasts of extreme convective rainfall and other hazardous severe weather threats by enhancing the capability of a data assimilation system to incorporate high-temporal"
